"Month","Month_Name","Monthly_Revenue","Monthly_Expenses","Monthly_Profit","Monthly_Profit_After_Tax","Profit_Margin","Good_Month","Bad_Month"
1,"January",150,100,0.05,0.035,23.3333333333333,"No","Yes"
2,"February",200,110,0.09,0.063,31.5,"No","Yes"
3,"March",180,90,0.09,0.063,35,"No","Yes"
4,"April",220,120,0.1,0.07,31.8181818181818,"Yes","No"
5,"May",250,130,0.12,0.084,33.6,"Yes","No"
6,"June",210,120,0.09,0.063,30,"No","Yes"
7,"July",190,110,0.08,0.056,29.4736842105263,"No","Yes"
8,"August",230,140,0.09,0.063,27.3913043478261,"No","Yes"
9,"September",240,150,0.09,0.063,26.25,"No","Yes"
10,"October",260,140,0.12,0.084,32.3076923076923,"Yes","No"
11,"November",180,100,0.08,0.056,31.1111111111111,"No","Yes"
12,"December",200,110,0.09,0.063,31.5,"No","Yes"
